Name,Size (Imperial),Size (Metric),Calories,Calories From Fat,Total Fat,% Fat Daily Value,Saturated Fat,% Saturated Fat Daily Value,Trans Fat,Cholesterol,% Cholesterol Daily Value,Sodium,% Sodium Daily value,Carbohydrates,% Carbohydrates Daily Value,Dietary Fiber,% Dietary Fiber Daily Value,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",5.4,154,480,240,27,42,12,62,0,235,79,1270,53,43,14,3,12,4,15,15,0,15,20
Big Breakfast with Hotcakes (Large Size Biscuit),15.3,434,1150,540,60,93,20,100,0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40
Big Breakfast® (Large Size Biscuit),10,283,800,470,52,80,18,90,0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30
Sausage Biscuit (Large Size Biscuit),4.6,131,480,280,31,48,13,65,0,30,10,1190,50,39,13,3,11,3,11,4,0,8,15
Sausage Biscuit with Egg (Large Size Biscuit),6.2,177,570,330,37,57,15,74,0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20
Southern Style Chicken Biscuit (Large Size Biscuit),5.5,157,470,220,24,37,9,45,0,30,10,1290,54,46,15,3,11,4,17,4,2,8,15
Fruit & Maple Oatmeal,9.2,251,290,40,4.5,7,1.5,9,0,5,2,160,7,57,19,5,19,32,5,2,130,10,10
Fruit & Maple Oatmeal without Brown Sugar,9.2,251,260,40,4.5,7,2,9,0,5,2,115,5,48,16,5,22,18,5,2,130,6,10
Premium Bacon Ranch Salad (without chicken),7.8,223,140,70,7,11,3.5,18,0,25,9,300,12,10,3,3,13,4,9,160,30,15,8
Premium Bacon Ranch Salad with Crispy Chicken,11.3,319,390,190,22,33,6,29,0,70,23,870,36,24,8,4,15,7,26,160,35,15,10
Premium Bacon Ranch Salad with Grilled Chicken,10.8,305,230,80,9,13,4,20,0,85,29,700,29,10,3,4,15,5,30,160,35,15,10
Premium Caesar Salad (without chicken),7.5,213,90,35,4,6,2.5,12,0,10,4,180,7,9,3,3,13,4,7,160,30,20,8
Premium Caesar Salad with Crispy Chicken,10.9,309,350,170,18,28,4.5,23,0,55,18,740,31,24,8,4,15,7,23,160,35,20,10
Premium Caesar Salad with Grilled Chicken,10.4,296,190,50,5,8,3,14,0,70,24,580,24,10,3,4,15,5,27,160,35,20,10
Premium Southwest Salad (without chicken),8.1,231,140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,24,6,6,160,25,15,10
Premium Southwest Salad with Crispy Chicken,12.3,350,450,190,21,33,4.5,21,0,50,17,820,34,42,14,7,27,13,23,160,30,15,15
